data,fechamento,volume
2024-01-17,128524.0,9950000.0
2024-01-16,129294.0,11910000.0
2024-01-15,131521.0,5750000.0
2024-01-12,130988.0,10660000.0
2024-01-11,130649.0,9760000.0
2024-01-10,130841.0,8960000.0
2024-01-09,131447.0,9290000.0
2024-01-08,132427.0,8500000.0
2024-01-05,132023.0,9200000.0
2024-01-04,131226.0,8970000.0
2024-01-03,132834.0,8700000.0
2024-01-02,132697.0,8440000.0
2023-12-28,134185.0,7810000.0
2023-12-27,134194.0,6170000.0
2023-12-26,133533.0,5150000.0
2023-12-22,132753.0,8230000.0
2023-12-21,132182.0,8680000.0
2023-12-20,130804.0,10340000.0
2023-12-19,131851.0,9430000.0
2023-12-18,131084.0,9600000.0
2023-12-15,130197.0,15140000.0
2023-12-14,130842.0,15820000.0
2023-12-13,129465.0,15070000.0
2023-12-12,126403.0,10270000.0
2023-12-11,126916.0,7090000.0
2023-12-08,127094.0,10750000.0
2023-12-07,126010.0,10510000.0
2023-12-06,125623.0,10840000.0
2023-12-05,126903.0,11960000.0
2023-12-04,126803.0,10270000.0
2023-12-01,128185.0,13700000.0
2023-11-30,127331.0,19240000.0
2023-11-29,126166.0,12420000.0
2023-11-28,126538.0,12390000.0
2023-11-27,125731.0,11010000.0
2023-11-24,125517.0,9610000.0
2023-11-23,126576.0,7820000.0
2023-11-22,126035.0,14060000.0
2023-11-21,125626.0,10790000.0
2023-11-20,125957.0,11110000.0
2023-11-17,124773.0,15720000.0
2023-11-16,124639.0,18360000.0
2023-11-14,123166.0,19430000.0
2023-11-13,120410.0,11200000.0
2023-11-10,120568.0,11750000.0
2023-11-09,119034.0,15570000.0
2023-11-08,119177.0,15190000.0
2023-11-07,119268.0,16390000.0
2023-11-06,118431.0,10170000.0
2023-11-03,118160.0,15710000.0
2023-11-01,115053.0,13900000.0
2023-10-31,113144.0,10560000.0
2023-10-30,112532.0,9740000.0
2023-10-27,113301.0,12290000.0
2023-10-26,114777.0,12770000.0
2023-10-25,112830.0,12310000.0
2023-10-24,113762.0,10710000.0
2023-10-23,112785.0,10700000.0
2023-10-20,113155.0,11740000.0
2023-10-19,114004.0,11500000.0
2023-10-18,114060.0,15490000.0
2023-10-17,115908.0,10370000.0
2023-10-16,116534.0,8990000.0
2023-10-13,115754.0,10610000.0
2023-10-11,117051.0,9950000.0
2023-10-10,116737.0,11620000.0
2023-10-09,115156.0,9470000.0
2023-10-06,114170.0,13140000.0
2023-10-05,113284.0,9510000.0
2023-10-04,113607.0,10810000.0
2023-10-03,113419.0,11100000.0
2023-10-02,115057.0,8520000.0
2023-09-29,116565.0,11140000.0
2023-09-28,115731.0,10390000.0
2023-09-27,114327.0,13360000.0
2023-09-26,114193.0,11240000.0
2023-09-25,115925.0,9580000.0
2023-09-22,116009.0,9440000.0
2023-09-21,116145.0,12690000.0
2023-09-20,118695.0,9240000.0
2023-09-19,117846.0,11450000.0
2023-09-18,118288.0,11270000.0
2023-09-15,118758.0,16110000.0
2023-09-14,119392.0,13280000.0
2023-09-13,118176.0,12080000.0
2023-09-12,117968.0,9190000.0
2023-09-11,116883.0,8790000.0
2023-09-08,115313.0,8359999.999999999
2023-09-06,115985.0,9920000.0
2023-09-05,117331.0,10870000.0
2023-09-04,117777.0,5530000.0
2023-09-01,117893.0,11890000.0
2023-08-31,115742.0,12950000.0
2023-08-30,117535.0,8920000.0
2023-08-29,118404.0,9630000.0
2023-08-28,117121.0,9600000.0
2023-08-25,115837.0,9210000.0
2023-08-24,117026.0,9200000.0
2023-08-23,118135.0,11540000.0
2023-08-22,116156.0,9830000.0
2023-08-21,114429.0,9790000.0
2023-08-18,115409.0,10600000.0
2023-08-17,114982.0,12750000.0
2023-08-16,115592.0,18860000.0
2023-08-15,116171.0,14640000.0
2023-08-14,116810.0,11200000.0
2023-08-11,118065.0,11870000.0
2023-08-10,118350.0,12690000.0
2023-08-09,118409.0,11250000.0
2023-08-08,119090.0,10250000.0
2023-08-07,119380.0,8730000.0
2023-08-04,119508.0,15070000.0
2023-08-03,120586.0,13030000.0
2023-08-02,120859.0,10570000.0
2023-08-01,121248.0,10300000.0
2023-07-31,121943.0,10120000.0
2023-07-28,120187.0,8460000.0
2023-07-27,119990.0,10680000.0
2023-07-26,122560.0,9990000.0
2023-07-25,122008.0,11430000.0
2023-07-24,121342.0,10490000.0
2023-07-21,120217.0,11180000.0
2023-07-20,118083.0,8990000.0
2023-07-19,117552.0,9730000.0
2023-07-18,117841.0,8580000.0
2023-07-17,118219.0,8199999.999999999
2023-07-14,117711.0,8980000.0
2023-07-13,119264.0,9260000.0
2023-07-12,117666.0,8940000.0
2023-07-11,117556.0,10590000.0
2023-07-10,117942.0,8100000.0
2023-07-07,118898.0,10520000.0
2023-07-06,117426.0,11030000.0
2023-07-05,119549.0,10960000.0
2023-07-04,119076.0,6560000.0
2023-07-03,119673.0,8910000.0
2023-06-30,118087.0,13820000.0
2023-06-29,118383.0,11060000.0
2023-06-28,116681.0,10650000.0
2023-06-27,117523.0,13080000.0
2023-06-26,118243.0,10460000.0
2023-06-23,118977.0,12850000.0
2023-06-22,118934.0,11830000.0
2023-06-21,120420.0,11740000.0
2023-06-20,119622.0,10920000.0
2023-06-19,119858.0,6780000.0
2023-06-16,118758.0,15250000.0
2023-06-15,119221.0,12300000.0
2023-06-14,119069.0,16940000.0
2023-06-13,116743.0,12390000.0
2023-06-12,117336.0,12020000.0
2023-06-09,117019.0,13530000.0
2023-06-07,115488.0,14020000.0
2023-06-06,114610.0,15030000.0
2023-06-05,112696.0,9080000.0
2023-06-02,112558.0,14550000.0
2023-06-01,110565.0,14670000.0
2023-05-31,108335.0,15860000.0
2023-05-30,108967.0,11590000.0
2023-05-29,110333.0,5910000.0
2023-05-26,110906.0,11020000.0
2023-05-25,110054.0,14750000.0
2023-05-24,108800.0,12980000.0
2023-05-23,109929.0,12330000.0
2023-05-22,110213.0,11770000.0
2023-05-19,110745.0,16140000.0
2023-05-18,110108.0,13610000.0
2023-05-17,109460.0,13990000.0
2023-05-16,108194.0,16900000.0
2023-05-15,109029.0,11600000.0
2023-05-12,108464.0,11920000.0
2023-05-11,108256.0,12770000.0
2023-05-10,107448.0,13580000.0
2023-05-09,107114.0,13530000.0
2023-05-08,106042.0,13260000.0
2023-05-05,105148.0,16700000.0
